dataset,batch_size,batches,rep,source,register_mibs,noregister_mibs
imagenetish,128,80,1,sweep,353.714885,636.225101
imagenetish,128,80,2,sweep,352.828538,643.089215
imagenetish,128,80,3,clean,352.9,638.3
imagenetish,128,80,4,clean,354.5,641.8
imagenetish,128,80,5,clean,354.2,641.3
tiktokish,64,20,1,sweep,4567.643345,2975.087604
tiktokish,64,20,2,sweep,4296.430522,2974.494340
lmcacheish,32,10,1,sweep,5320.974972,4502.563139
lmcacheish,32,10,2,sweep,5291.581860,4297.571831
filesize8gib,1,3,1,sweep,6986.195970,6482.958115
filesize8gib,1,3,2,sweep,6994.591229,6450.022780
