backend,dataset,mode,io_threads,queue_depth,mib_s,iops
opends,filesize8gib,sync,1,1,4976.538534,0.607488
opends,filesize8gib,async,1,1,5272.530824,0.643619
opends,tiktokish,sync,1,1,4048.201109,543.011242
opends,tiktokish,async,1,1,4409.451136,592.320537
opends,imagenetish,sync,1,1,322.355704,3004.676554
opends,imagenetish,async,1,1,625.39611,5829.400958
opends,lmcacheish,sync,1,1,4821.964507,344.329962
opends,lmcacheish,async,1,1,5080.980161,362.825919
opends,lmcacheish,sync,1,128,6015.165887,429.534858
opends,lmcacheish,async,1,128,4960.043436,354.189992
opends,filesize8gib,sync,1,128,7052.604103,0.860914
opends,filesize8gib,async,1,128,7065.512471,0.862489
opends,tiktokish,sync,1,128,4982.225832,665.254979
opends,tiktokish,async,1,128,5496.958622,740.798253
opends,imagenetish,sync,1,128,352.087765,3281.784897
opends,imagenetish,async,1,128,2783.549286,25944.203104
opends,filesize8gib,sync,1,16,7051.657224,0.860798
opends,filesize8gib,async,1,16,6962.693354,0.849938
opends,tiktokish,sync,1,16,5028.846576,671.928765
opends,tiktokish,async,1,16,5329.47328,709.942466
opends,imagenetish,sync,1,16,352.313688,3283.946368
opends,imagenetish,async,1,16,2777.155059,25886.820525
opends,lmcacheish,sync,1,16,6015.038024,429.525728
opends,lmcacheish,async,1,16,4876.319633,348.211388
opends,filesize8gib,sync,1,2,6894.419251,0.841604
opends,filesize8gib,async,1,2,6980.569059,0.85212
opends,tiktokish,sync,1,2,4907.097433,664.210128
opends,tiktokish,async,1,2,5070.509161,686.004102
opends,imagenetish,sync,1,2,351.151784,3273.007534
opends,imagenetish,async,1,2,894.802928,8340.261686
opends,lmcacheish,sync,1,2,6028.746528,430.504634
opends,lmcacheish,async,1,2,6137.078833,438.240497
opends,lmcacheish,sync,1,256,6008.532906,429.061206
opends,lmcacheish,async,1,256,4970.942983,354.968313
opends,filesize8gib,sync,1,256,7056.416447,0.861379
opends,filesize8gib,async,1,256,7042.584466,0.85969
opends,tiktokish,sync,1,256,4848.717446,648.866447
opends,tiktokish,async,1,256,5162.030417,695.427088
opends,imagenetish,sync,1,256,351.094669,3272.318885
opends,imagenetish,async,1,256,2783.749205,25947.361114
opends,filesize8gib,sync,1,32,7053.280493,0.860996
opends,filesize8gib,async,1,32,7053.255291,0.860993
opends,tiktokish,sync,1,32,4839.588629,653.122431
opends,tiktokish,async,1,32,5254.168979,698.023549
opends,imagenetish,sync,1,32,352.711371,3287.532408
opends,imagenetish,async,1,32,2782.590226,25935.165775
opends,lmcacheish,sync,1,32,6010.698921,429.215878
opends,lmcacheish,async,1,32,4923.736229,351.597343
opends,filesize8gib,sync,1,4,7060.383518,0.861863
opends,filesize8gib,async,1,4,7026.377283,0.857712
opends,tiktokish,sync,1,4,4992.797759,667.190531
opends,tiktokish,async,1,4,5661.482904,753.74193
opends,imagenetish,sync,1,4,351.506543,3276.252429
opends,imagenetish,async,1,4,1513.484678,14106.433816
opends,lmcacheish,sync,1,4,6025.228884,430.253443
opends,lmcacheish,async,1,4,5274.5745,376.650229
opends,lmcacheish,sync,1,512,6002.451942,428.626973
opends,lmcacheish,async,1,512,4924.083924,351.622171
opends,filesize8gib,sync,1,512,6910.166399,0.843526
opends,filesize8gib,async,1,512,7058.384769,0.861619
opends,tiktokish,sync,1,512,4971.045076,664.344561
opends,tiktokish,async,1,512,5257.780268,702.952023
opends,imagenetish,sync,1,512,351.529669,3276.587577
opends,imagenetish,async,1,512,2780.240658,25913.868564
opends,filesize8gib,sync,1,64,7059.136661,0.861711
opends,filesize8gib,async,1,64,7058.616061,0.861647
opends,tiktokish,sync,1,64,4888.293424,652.214938
opends,tiktokish,async,1,64,5485.80623,735.513877
opends,imagenetish,sync,1,64,352.734345,3287.898908
opends,imagenetish,async,1,64,2778.574282,25897.649185
opends,lmcacheish,sync,1,64,6014.765947,429.506299
opends,lmcacheish,async,1,64,4998.632004,356.945549
opends,filesize8gib,sync,1,8,7052.514547,0.860903
opends,filesize8gib,async,1,8,7032.321596,0.858438
opends,tiktokish,sync,1,8,4962.218372,664.012846
opends,tiktokish,async,1,8,5292.901357,713.409495
opends,imagenetish,sync,1,8,351.065626,3272.143974
opends,imagenetish,async,1,8,2345.724082,21864.272108
opends,lmcacheish,sync,1,8,6015.176619,429.535625
opends,lmcacheish,async,1,8,4917.381454,351.143557
opends,filesize8gib,sync,2,1,5924.985896,0.723265
opends,filesize8gib,async,2,1,5297.829443,0.646708
opends,tiktokish,sync,2,1,4918.032654,660.734642
opends,tiktokish,async,2,1,4998.321279,664.650917
opends,imagenetish,sync,2,1,397.407455,3704.152046
opends,imagenetish,async,2,1,1113.892315,10382.056604
opends,lmcacheish,sync,2,1,5856.219344,418.184701
opends,lmcacheish,async,2,1,5802.060328,414.317279
opends,lmcacheish,sync,2,128,6239.96727,445.587621
opends,lmcacheish,async,2,128,4925.250235,351.705456
opends,filesize8gib,sync,2,128,6996.640712,0.854082
opends,filesize8gib,async,2,128,7029.973398,0.858151
opends,tiktokish,sync,2,128,5068.696603,674.874911
opends,tiktokish,async,2,128,5443.083079,738.962683
opends,imagenetish,sync,2,128,442.600099,4125.476161
opends,imagenetish,async,2,128,2795.641847,26057.610338
opends,filesize8gib,sync,2,16,7043.642639,0.85982
opends,filesize8gib,async,2,16,7043.004185,0.859742
opends,tiktokish,sync,2,16,5046.0174,665.110172
opends,tiktokish,async,2,16,5302.456139,712.317897
opends,imagenetish,sync,2,16,442.006218,4119.901537
opends,imagenetish,async,2,16,2796.836829,26067.441658
opends,lmcacheish,sync,2,16,6227.831305,444.721008
opends,lmcacheish,async,2,16,5257.604182,375.438402
opends,filesize8gib,sync,2,2,6887.39417,0.840746
opends,filesize8gib,async,2,2,6990.807912,0.85337
opends,tiktokish,sync,2,2,5096.716789,680.19722
opends,tiktokish,async,2,2,4715.369437,636.322253
opends,imagenetish,sync,2,2,443.188457,4130.749232
opends,imagenetish,async,2,2,1527.45434,14237.009259
opends,lmcacheish,sync,2,2,6210.992808,443.518594
opends,lmcacheish,async,2,2,5677.416156,405.416607
opends,lmcacheish,sync,2,256,6227.399209,444.690153
opends,lmcacheish,async,2,256,4935.957338,352.470036
opends,filesize8gib,sync,2,256,6596.562605,0.805244
opends,filesize8gib,async,2,256,7014.62393,0.856277
opends,tiktokish,sync,2,256,4979.222956,656.764527
opends,tiktokish,async,2,256,5304.857745,714.585349
opends,imagenetish,sync,2,256,442.354966,4123.160975
opends,imagenetish,async,2,256,2797.694948,26076.898323
opends,filesize8gib,sync,2,32,6752.998922,0.824341
opends,filesize8gib,async,2,32,7025.854754,0.857648
opends,tiktokish,sync,2,32,5026.722356,666.491004
opends,tiktokish,async,2,32,5526.144578,729.578481
opends,imagenetish,sync,2,32,441.764311,4117.40713
opends,imagenetish,async,2,32,2792.897376,26031.597748
opends,lmcacheish,sync,2,32,6236.807053,445.361954
opends,lmcacheish,async,2,32,4888.566784,349.08594
opends,filesize8gib,sync,2,4,7046.890837,0.860216
opends,filesize8gib,async,2,4,6734.367425,0.822066
opends,tiktokish,sync,2,4,4899.133294,655.307863
opends,tiktokish,async,2,4,5341.280258,719.665072
opends,imagenetish,sync,2,4,442.87034,4127.874236
opends,imagenetish,async,2,4,2377.779035,22163.531376
opends,lmcacheish,sync,2,4,6226.070686,444.595285
opends,lmcacheish,async,2,4,4967.965885,354.755723
opends,lmcacheish,sync,2,512,6226.409901,444.619508
opends,lmcacheish,async,2,512,4941.953416,352.898208
opends,filesize8gib,sync,2,512,6417.921203,0.783438
opends,filesize8gib,async,2,512,6899.244685,0.842193
opends,tiktokish,sync,2,512,5065.981096,678.454235
opends,tiktokish,async,2,512,5463.519406,734.152486
opends,imagenetish,sync,2,512,442.961594,4128.72919
opends,imagenetish,async,2,512,2792.376519,26027.856627
opends,filesize8gib,sync,2,64,7036.467047,0.858944
opends,filesize8gib,async,2,64,6749.927845,0.823966
opends,tiktokish,sync,2,64,4963.773744,671.187043
opends,tiktokish,async,2,64,5372.316364,724.992176
opends,imagenetish,sync,2,64,442.667219,4126.037232
opends,imagenetish,async,2,64,2798.270049,26081.278849
opends,lmcacheish,sync,2,64,6239.194231,445.532419
opends,lmcacheish,async,2,64,4903.611411,350.160257
opends,filesize8gib,sync,2,8,6913.44042,0.843926
opends,filesize8gib,async,2,8,7067.894476,0.86278
opends,tiktokish,sync,2,8,4930.797247,659.243283
opends,tiktokish,async,2,8,5072.982751,680.154176
opends,imagenetish,sync,2,8,442.197699,4121.550514
opends,imagenetish,async,2,8,2797.423818,26075.007787
opends,lmcacheish,sync,2,8,6224.268075,444.466563
opends,lmcacheish,async,2,8,5377.058153,383.968448
opends,filesize8gib,sync,4,1,4780.681629,0.583579
opends,filesize8gib,async,4,1,5273.593174,0.643749
opends,tiktokish,sync,4,1,4915.819524,660.541785
opends,tiktokish,async,4,1,5288.768144,704.88067
opends,imagenetish,sync,4,1,398.332296,3712.789015
opends,imagenetish,async,4,1,1733.196747,16153.995935
opends,lmcacheish,sync,4,1,6089.525822,434.844801
opends,lmcacheish,async,4,1,5552.353857,396.486077
opends,lmcacheish,sync,4,128,6274.231422,448.034378
opends,lmcacheish,async,4,128,4885.325101,348.854456
opends,filesize8gib,sync,4,128,6691.799744,0.81687
opends,filesize8gib,async,4,128,7034.481325,0.858701
opends,tiktokish,sync,4,128,5066.077851,672.958518
opends,tiktokish,async,4,128,5101.972186,682.906032
opends,imagenetish,sync,4,128,440.981186,4110.238174
opends,imagenetish,async,4,128,2809.415151,26186.050586
opends,filesize8gib,sync,4,16,6349.346314,0.775067
opends,filesize8gib,async,4,16,7042.114006,0.859633
opends,tiktokish,sync,4,16,4948.492203,659.342253
opends,tiktokish,async,4,16,5184.463171,686.732697
opends,imagenetish,sync,4,16,440.579112,4106.635623
opends,imagenetish,async,4,16,2801.654557,26114.659496
opends,lmcacheish,sync,4,16,6288.360998,449.043352
opends,lmcacheish,async,4,16,4894.239014,349.490987
opends,filesize8gib,sync,4,2,6577.153022,0.802875
opends,filesize8gib,async,4,2,7016.120399,0.85646
opends,tiktokish,sync,4,2,5157.035788,688.157526
opends,tiktokish,async,4,2,5475.475053,731.339054
opends,imagenetish,sync,4,2,440.801524,4108.463785
opends,imagenetish,async,4,2,2407.074929,22435.287912
opends,lmcacheish,sync,4,2,6285.246007,448.820914
opends,lmcacheish,async,4,2,4936.687235,352.522157
opends,lmcacheish,sync,4,256,6265.334435,447.399056
opends,lmcacheish,async,4,256,4913.000338,350.830708
opends,filesize8gib,sync,4,256,6783.467859,0.82806
opends,filesize8gib,async,4,256,6736.53495,0.822331
opends,tiktokish,sync,4,256,5253.596155,702.231505
opends,tiktokish,async,4,256,5301.431382,708.479375
opends,imagenetish,sync,4,256,441.283353,4113.048728
opends,imagenetish,async,4,256,2805.753609,26151.732945
opends,filesize8gib,sync,4,32,6236.645375,0.761309
opends,filesize8gib,async,4,32,7027.489254,0.857848
opends,tiktokish,sync,4,32,5045.214873,678.671354
opends,tiktokish,async,4,32,5459.123018,729.679015
opends,imagenetish,sync,4,32,441.236977,4112.61647
opends,imagenetish,async,4,32,2804.836794,26142.666998
opends,lmcacheish,sync,4,32,6277.393558,448.260182
opends,lmcacheish,async,4,32,4918.029616,351.189841
opends,filesize8gib,sync,4,4,4834.479645,0.590146
opends,filesize8gib,async,4,4,6700.426889,0.817923
opends,tiktokish,sync,4,4,5030.410445,677.201897
opends,tiktokish,async,4,4,5319.324468,710.281658
opends,imagenetish,sync,4,4,441.321704,4113.489059
opends,imagenetish,async,4,4,2805.826166,26152.49602
opends,lmcacheish,sync,4,4,6280.72625,448.498165
opends,lmcacheish,async,4,4,4857.788995,346.88814
opends,lmcacheish,sync,4,512,6279.323192,448.397974
opends,lmcacheish,async,4,512,4921.631716,351.447063
opends,filesize8gib,sync,4,512,6678.142757,0.815203
opends,filesize8gib,async,4,512,7036.376208,0.858933
opends,tiktokish,sync,4,512,5189.271355,684.876172
opends,tiktokish,async,4,512,5519.708601,728.074403
opends,imagenetish,sync,4,512,441.454316,4114.763643
opends,imagenetish,async,4,512,2802.505329,26122.19338
opends,filesize8gib,sync,4,64,6131.694573,0.748498
opends,filesize8gib,async,4,64,7033.139015,0.858537
opends,tiktokish,sync,4,64,5155.827835,682.173377
opends,tiktokish,async,4,64,5352.231691,709.13289
opends,imagenetish,sync,4,64,440.874805,4109.335271
opends,imagenetish,async,4,64,2802.473927,26119.999846
opends,lmcacheish,sync,4,64,6282.16267,448.600737
opends,lmcacheish,async,4,64,4898.408357,349.788714
opends,filesize8gib,sync,4,8,4878.802346,0.595557
opends,filesize8gib,async,4,8,6955.044637,0.849004
opends,tiktokish,sync,4,8,4991.060656,671.693726
opends,tiktokish,async,4,8,5741.728392,770.180644
opends,imagenetish,sync,4,8,440.673594,4107.475391
opends,imagenetish,async,4,8,2805.030139,26145.770553
opends,lmcacheish,sync,4,8,6278.768127,448.358338
opends,lmcacheish,async,4,8,4913.953768,350.898791
opends,filesize8gib,sync,8,1,4706.807556,0.574561
opends,filesize8gib,async,8,1,5209.980386,0.635984
opends,tiktokish,sync,8,1,4902.23475,653.137034
opends,tiktokish,async,8,1,4882.560757,648.477068
opends,imagenetish,sync,8,1,394.382006,3675.9712
opends,imagenetish,async,8,1,2462.72276,22954.560858
opends,lmcacheish,sync,8,1,6093.429542,435.12356
opends,lmcacheish,async,8,1,5086.399318,363.212894
opends,lmcacheish,sync,8,128,6084.266769,434.469259
opends,lmcacheish,async,8,128,4890.701968,349.238411
opends,filesize8gib,sync,8,128,4944.257734,0.603547
opends,filesize8gib,async,8,128,7063.619107,0.862258
opends,tiktokish,sync,8,128,5036.174227,673.508337
opends,tiktokish,async,8,128,5321.819274,717.9388
opends,imagenetish,sync,8,128,434.338667,4048.432472
opends,imagenetish,async,8,128,2799.290982,26090.364649
opends,filesize8gib,sync,8,16,6352.086371,0.775401
opends,filesize8gib,async,8,16,6763.985987,0.825682
opends,tiktokish,sync,8,16,4989.548769,667.490281
opends,tiktokish,async,8,16,5216.862656,702.462783
opends,imagenetish,sync,8,16,433.31968,4038.812525
opends,imagenetish,async,8,16,2800.492401,26102.382073
opends,lmcacheish,sync,8,16,6086.221253,434.608826
opends,lmcacheish,async,8,16,4932.670047,352.235295
opends,filesize8gib,sync,8,2,4696.277381,0.573276
opends,filesize8gib,async,8,2,7008.710025,0.855555
opends,tiktokish,sync,8,2,5031.01967,673.613033
opends,tiktokish,async,8,2,5199.725027,693.495556
opends,imagenetish,sync,8,2,434.467641,4049.387465
opends,imagenetish,async,8,2,2792.021165,26022.684526
opends,lmcacheish,sync,8,2,6097.552717,435.41799
opends,lmcacheish,async,8,2,4909.125224,350.553991
opends,lmcacheish,sync,8,256,6083.204253,434.393386
opends,lmcacheish,async,8,256,4896.644595,349.662766
opends,filesize8gib,sync,8,256,5012.710363,0.611903
opends,filesize8gib,async,8,256,7022.212233,0.857204
opends,tiktokish,sync,8,256,4920.672268,660.004363
opends,tiktokish,async,8,256,5609.275193,749.182469
opends,imagenetish,sync,8,256,434.519836,4050.123536
opends,imagenetish,async,8,256,2803.02147,26125.963904
opends,filesize8gib,sync,8,32,5804.690213,0.70858
opends,filesize8gib,async,8,32,7038.788252,0.859227
opends,tiktokish,sync,8,32,4960.537145,656.727367
opends,tiktokish,async,8,32,5332.828133,716.045613
opends,imagenetish,sync,8,32,434.211471,4047.325081
opends,imagenetish,async,8,32,2798.330962,26083.370602
opends,lmcacheish,sync,8,32,6101.844032,435.724427
opends,lmcacheish,async,8,32,4915.894838,351.0374
opends,filesize8gib,sync,8,4,4696.708746,0.573329
opends,filesize8gib,async,8,4,6758.623375,0.825027
opends,tiktokish,sync,8,4,5069.940359,675.176522
opends,tiktokish,async,8,4,5309.268784,707.490174
opends,imagenetish,sync,8,4,433.87411,4044.024736
opends,imagenetish,async,8,4,2793.936916,26041.697423
opends,lmcacheish,sync,8,4,6091.14568,434.960473
opends,lmcacheish,async,8,4,4861.567273,347.157942
opends,lmcacheish,sync,8,512,6083.797045,434.435716
opends,lmcacheish,async,8,512,4888.373064,349.072107
opends,filesize8gib,sync,8,512,4908.603404,0.599195
opends,filesize8gib,async,8,512,7032.883548,0.858506
opends,tiktokish,sync,8,512,4846.856582,654.220063
opends,tiktokish,async,8,512,5211.964451,701.081556
opends,imagenetish,sync,8,512,435.142305,4055.929361
opends,imagenetish,async,8,512,2793.892085,26041.344373
opends,filesize8gib,sync,8,64,5015.476259,0.612241
opends,filesize8gib,async,8,64,7028.537642,0.857976
opends,tiktokish,sync,8,64,4933.668993,663.867224
opends,tiktokish,async,8,64,5373.13396,719.366417
opends,imagenetish,sync,8,64,433.806348,4043.392182
opends,imagenetish,async,8,64,2796.782015,26068.277775
opends,lmcacheish,sync,8,64,6093.993334,435.16382
opends,lmcacheish,async,8,64,4877.557475,348.299781
opends,filesize8gib,sync,8,8,4782.182489,0.583763
opends,filesize8gib,async,8,8,7030.920249,0.858267
opends,tiktokish,sync,8,8,4991.089345,670.898678
opends,tiktokish,async,8,8,5034.775596,675.197037
opends,imagenetish,sync,8,8,433.943748,4044.733732
opends,imagenetish,async,8,8,2796.459369,26064.921375
opends,lmcacheish,sync,8,8,6091.184986,434.963279
opends,lmcacheish,async,8,8,4903.87736,350.179248
gds,filesize8gib,sync,,,6967.027983,0.850467
gds,filesize8gib,async,,,2425.703175,0.296106
gds,tiktokish,sync,,,3898.597225,517.837449
gds,tiktokish,async,,,2514.896145,336.706066
gds,imagenetish,sync,,,335.253881,3124.814877
gds,imagenetish,async,,,867.577855,8086.315867
gds,lmcacheish,sync,,,5317.103786,379.687188
gds,lmcacheish,async,,,4961.389731,354.286129
