backend,dataset,mode,io_threads,queue_depth,mib_s,iops
opends,filesize8gib,sync,1,1,5288.218846,0.645535
opends,tiktokish,sync,1,1,4019.705537,539.250543
opends,imagenetish,sync,1,1,323.059262,3011.165543
opends,lmcacheish,sync,1,1,4815.480201,343.866926
opends,filesize8gib,sync,1,128,7084.282092,0.864781
opends,tiktokish,sync,1,128,4756.855982,626.288257
opends,imagenetish,sync,1,128,350.564335,3267.52354
opends,lmcacheish,sync,1,128,6008.044934,429.026361
opends,filesize8gib,sync,1,16,7060.943816,0.861932
opends,tiktokish,sync,1,16,4822.326734,643.776309
opends,imagenetish,sync,1,16,350.768121,3269.433047
opends,lmcacheish,sync,1,16,5987.163537,427.535248
opends,filesize8gib,sync,1,2,6999.069484,0.854379
opends,tiktokish,sync,1,2,4814.782408,647.10197
opends,imagenetish,sync,1,2,350.149508,3263.651234
opends,lmcacheish,sync,1,2,6015.638873,429.568634
opends,filesize8gib,sync,1,256,6798.090514,0.829845
opends,tiktokish,sync,1,256,4834.549906,644.2191
opends,imagenetish,sync,1,256,350.734445,3268.942491
opends,lmcacheish,sync,1,256,6013.854946,429.441246
opends,filesize8gib,sync,1,32,7071.106071,0.863172
opends,tiktokish,sync,1,32,4848.014348,653.472258
opends,imagenetish,sync,1,32,350.256849,3264.898608
opends,lmcacheish,sync,1,32,6021.527478,429.989131
opends,filesize8gib,sync,1,4,7078.252034,0.864044
opends,tiktokish,sync,1,4,4907.789929,659.256137
opends,imagenetish,sync,1,4,350.313696,3265.098002
opends,lmcacheish,sync,1,4,6018.135855,429.74694
opends,filesize8gib,sync,1,512,6798.966171,0.829952
opends,tiktokish,sync,1,512,4682.126831,624.032734
opends,imagenetish,sync,1,512,350.528065,3267.212189
opends,lmcacheish,sync,1,512,6010.744382,429.219125
opends,filesize8gib,sync,1,64,7059.924307,0.861807
opends,tiktokish,sync,1,64,4798.726616,640.364925
opends,imagenetish,sync,1,64,350.724372,3268.990409
opends,lmcacheish,sync,1,64,6007.542384,428.990474
opends,filesize8gib,sync,1,8,7054.549035,0.861151
opends,tiktokish,sync,1,8,4881.416596,653.17707
opends,imagenetish,sync,1,8,351.071729,3272.224134
opends,lmcacheish,sync,1,8,6021.286679,429.971936
opends,filesize8gib,sync,2,1,5274.461925,0.643855
opends,tiktokish,sync,2,1,4005.495815,532.465486
opends,imagenetish,sync,2,1,397.598582,3705.900999
opends,lmcacheish,sync,2,1,4920.848023,351.3911
opends,filesize8gib,sync,2,128,7074.268285,0.863558
opends,tiktokish,sync,2,128,4919.972304,650.779487
opends,imagenetish,sync,2,128,441.70468,4116.83622
opends,lmcacheish,sync,2,128,6162.530952,440.057998
opends,filesize8gib,sync,2,16,7063.977068,0.862302
opends,tiktokish,sync,2,16,4989.91384,661.847585
opends,imagenetish,sync,2,16,441.457419,4114.707218
opends,lmcacheish,sync,2,16,6154.191203,439.462468
opends,filesize8gib,sync,2,2,7070.35278,0.86308
opends,tiktokish,sync,2,2,4881.100834,643.595437
opends,imagenetish,sync,2,2,441.64157,4116.3007
opends,lmcacheish,sync,2,2,6162.880639,440.082969
opends,filesize8gib,sync,2,256,7060.963541,0.861934
opends,tiktokish,sync,2,256,5025.27253,671.421051
opends,imagenetish,sync,2,256,441.415822,4114.588689
opends,lmcacheish,sync,2,256,6165.648081,440.280588
opends,filesize8gib,sync,2,32,7093.860775,0.86595
opends,tiktokish,sync,2,32,4967.526814,663.639467
opends,imagenetish,sync,2,32,441.833312,4118.432913
opends,lmcacheish,sync,2,32,6172.612445,440.777904
opends,filesize8gib,sync,2,4,7078.185072,0.864036
opends,tiktokish,sync,2,4,4904.218246,651.501891
opends,imagenetish,sync,2,4,441.200889,4112.380026
opends,lmcacheish,sync,2,4,6172.763779,440.788711
opends,filesize8gib,sync,2,512,7066.754022,0.862641
opends,tiktokish,sync,2,512,4963.245542,660.566773
opends,imagenetish,sync,2,512,442.271511,4122.34059
opends,lmcacheish,sync,2,512,6157.166712,439.674945
opends,filesize8gib,sync,2,64,7063.967145,0.862301
opends,tiktokish,sync,2,64,4944.498413,664.695945
opends,imagenetish,sync,2,64,442.091234,4120.413645
opends,lmcacheish,sync,2,64,6178.227351,441.178857
opends,filesize8gib,sync,2,8,7087.785713,0.865208
opends,tiktokish,sync,2,8,4926.101307,659.606877
opends,imagenetish,sync,2,8,441.489095,4114.852748
opends,lmcacheish,sync,2,8,6157.642494,439.70892
opends,filesize8gib,sync,4,1,5275.050383,0.643927
opends,tiktokish,sync,4,1,4078.934715,540.140825
opends,imagenetish,sync,4,1,397.958627,3709.360188
opends,lmcacheish,sync,4,1,4918.10601,351.195297
opends,filesize8gib,sync,4,128,6953.831287,0.848856
opends,tiktokish,sync,4,128,5009.598975,671.01557
opends,imagenetish,sync,4,128,439.322907,4094.860537
opends,lmcacheish,sync,4,128,6151.209528,439.249551
opends,filesize8gib,sync,4,16,7061.856726,0.862043
opends,tiktokish,sync,4,16,5010.912149,665.695127
opends,imagenetish,sync,4,16,441.188725,4112.016135
opends,lmcacheish,sync,4,16,6158.047451,439.737837
opends,filesize8gib,sync,4,2,7024.467488,0.857479
opends,tiktokish,sync,4,2,4966.451117,666.671145
opends,imagenetish,sync,4,2,440.126536,4102.266918
opends,lmcacheish,sync,4,2,6180.482721,441.33991
opends,filesize8gib,sync,4,256,6964.315403,0.850136
opends,tiktokish,sync,4,256,4944.032772,656.694193
opends,imagenetish,sync,4,256,438.754243,4089.449594
opends,lmcacheish,sync,4,256,6143.064603,438.667933
opends,filesize8gib,sync,4,32,7080.901343,0.864368
opends,tiktokish,sync,4,32,4963.009126,657.653958
opends,imagenetish,sync,4,32,440.597747,4106.762102
opends,lmcacheish,sync,4,32,6145.505966,438.842267
opends,filesize8gib,sync,4,4,7084.538612,0.864812
opends,tiktokish,sync,4,4,4969.042857,661.805131
opends,imagenetish,sync,4,4,439.943864,4100.685313
opends,lmcacheish,sync,4,4,6168.057858,440.452667
opends,filesize8gib,sync,4,512,6800.603151,0.830152
opends,tiktokish,sync,4,512,4935.827106,660.770577
opends,imagenetish,sync,4,512,440.027068,4101.467654
opends,lmcacheish,sync,4,512,6138.167366,438.318227
opends,filesize8gib,sync,4,64,7036.751969,0.858979
opends,tiktokish,sync,4,64,4936.059484,660.051612
opends,imagenetish,sync,4,64,439.745794,4098.540859
opends,lmcacheish,sync,4,64,6175.634258,440.993688
opends,filesize8gib,sync,4,8,7080.641298,0.864336
opends,tiktokish,sync,4,8,4916.110395,651.355977
opends,imagenetish,sync,4,8,440.058114,4101.77794
opends,lmcacheish,sync,4,8,6142.759694,438.646159
opends,filesize8gib,sync,8,1,5299.851028,0.646954
opends,tiktokish,sync,8,1,4000.400367,540.761061
opends,imagenetish,sync,8,1,394.073537,3673.139114
opends,lmcacheish,sync,8,1,4921.119923,351.410516
opends,filesize8gib,sync,8,128,7094.679052,0.86605
opends,tiktokish,sync,8,128,4934.906946,655.141567
opends,imagenetish,sync,8,128,433.571293,4041.272187
opends,lmcacheish,sync,8,128,6153.818207,439.435833
opends,filesize8gib,sync,8,16,7098.900761,0.866565
opends,tiktokish,sync,8,16,4923.53176,669.507455
opends,imagenetish,sync,8,16,433.891022,4044.24228
opends,lmcacheish,sync,8,16,6165.749331,440.287818
opends,filesize8gib,sync,8,2,7087.577272,0.865183
opends,tiktokish,sync,8,2,5088.02815,674.768421
opends,imagenetish,sync,8,2,432.476678,4031.147271
opends,lmcacheish,sync,8,2,6164.284751,440.183235
opends,filesize8gib,sync,8,256,7074.809343,0.863624
opends,tiktokish,sync,8,256,4937.827994,664.479694
opends,imagenetish,sync,8,256,433.448228,4039.95178
opends,lmcacheish,sync,8,256,6161.129604,439.95793
opends,filesize8gib,sync,8,32,7096.444454,0.866265
opends,tiktokish,sync,8,32,4904.962396,652.387592
opends,imagenetish,sync,8,32,433.712151,4042.628708
opends,lmcacheish,sync,8,32,6163.221603,440.107317
opends,filesize8gib,sync,8,4,7081.947804,0.864496
opends,tiktokish,sync,8,4,5061.886027,674.036688
opends,imagenetish,sync,8,4,432.826098,4034.366945
opends,lmcacheish,sync,8,4,6174.582764,440.918602
opends,filesize8gib,sync,8,512,7077.921545,0.864004
opends,tiktokish,sync,8,512,4983.973157,672.097073
opends,imagenetish,sync,8,512,433.535342,4041.035753
opends,lmcacheish,sync,8,512,6165.62535,440.278965
opends,filesize8gib,sync,8,64,7093.599403,0.865918
opends,tiktokish,sync,8,64,4862.123098,656.181741
opends,imagenetish,sync,8,64,432.77857,4033.806808
opends,lmcacheish,sync,8,64,6166.318426,440.328457
opends,filesize8gib,sync,8,8,7086.216954,0.865017
opends,tiktokish,sync,8,8,4927.486458,659.506322
opends,imagenetish,sync,8,8,433.880405,4044.007201
opends,lmcacheish,sync,8,8,6165.290683,440.255067
