backend,dataset,mode,io_threads,queue_depth,assume_aligned_only,idle_spin_us,busy_spin,mib_s,iops,error
gds,filesize8gib,sync,,,0,,0,6519.757618,0.795869,
gds,filesize8gib,stream,,,0,,0,2599.189159,0.317284,
gds,tiktokish,sync,,,0,,0,4613.924189,616.18465,
gds,tiktokish,stream,,,0,,0,5101.151635,681.218023,
gds,imagenetish,sync,,,0,,0,343.274017,3199.66406,
gds,imagenetish,stream,,,0,,0,874.851879,8154.55555,
gds,lmcacheish,sync,,,0,,0,5533.165183,395.11584,
gds,lmcacheish,stream,,,0,,0,4990.644005,356.375137,
opends,filesize8gib,sync,1,1,0,200,0,5259.488914,0.642027,
opends,filesize8gib,stream,1,1,0,200,0,4995.586766,0.609813,
opends,filesize8gib,async,1,1,0,200,0,5292.821786,0.646096,
opends,tiktokish,sync,1,1,0,200,0,4893.354214,653.449721,
opends,tiktokish,stream,1,1,0,200,0,4884.917283,652.313253,
opends,tiktokish,async,1,1,0,200,0,4904.091059,654.913655,
opends,lmcacheish,sync,1,1,0,200,0,5040.187774,359.91299,
opends,lmcacheish,stream,1,1,0,200,0,5011.237104,357.845662,
opends,lmcacheish,async,1,1,0,200,0,5035.694032,359.592098,
opends,filesize8gib,sync,1,16,0,200,0,7054.102166,0.861096,
opends,filesize8gib,stream,1,16,0,200,0,7057.663244,0.861531,
opends,filesize8gib,async,1,16,0,200,0,6777.713322,0.827358,
opends,tiktokish,sync,1,16,0,200,0,6212.124658,829.652996,
opends,tiktokish,stream,1,16,0,200,0,4952.821881,661.46166,
opends,tiktokish,async,1,16,0,200,0,4999.510295,667.629029,
opends,lmcacheish,sync,1,16,0,200,0,6373.842721,455.147486,
opends,lmcacheish,stream,1,16,0,200,0,4855.952637,346.757008,
opends,lmcacheish,async,1,16,0,200,0,4954.705266,353.8088,
opends,filesize8gib,sync,1,1,1,200,0,5289.76694,0.645724,
opends,filesize8gib,stream,1,1,1,200,0,4946.090081,0.603771,
opends,filesize8gib,async,1,1,1,200,0,5191.141667,0.633684,
opends,lmcacheish,sync,1,1,1,200,0,5041.021787,359.972546,
opends,lmcacheish,stream,1,1,1,200,0,5043.245672,360.131351,
opends,lmcacheish,async,1,1,1,200,0,5041.679129,360.019486,
opends,filesize8gib,sync,1,1,1,0,0,5283.031475,0.644901,
opends,filesize8gib,stream,1,1,1,0,0,5182.521725,0.632632,
opends,filesize8gib,async,1,1,1,0,0,4943.742316,0.603484,
opends,lmcacheish,sync,1,1,1,0,0,4794.773923,342.388319,
opends,lmcacheish,stream,1,1,1,0,0,5047.264923,360.41836,
opends,lmcacheish,async,1,1,1,0,0,5030.607302,359.228862,
opends,filesize8gib,sync,1,1,0,,1,5313.187494,0.648582,
opends,filesize8gib,stream,1,1,0,,1,5274.120294,0.643814,
opends,filesize8gib,async,1,1,0,,1,5254.775965,0.641452,
opends,tiktokish,sync,1,1,0,,1,4896.308775,653.926594,
opends,tiktokish,stream,1,1,0,,1,4879.699607,651.736996,
opends,tiktokish,async,1,1,0,,1,4907.727641,655.447301,
opends,lmcacheish,sync,1,1,0,,1,5049.839153,360.602182,
opends,lmcacheish,stream,1,1,0,,1,4999.545341,357.010769,
opends,lmcacheish,async,1,1,0,,1,5041.419323,360.000934,
opends,filesize8gib,sync,1,1,0,0,0,5276.568198,0.644112,
opends,filesize8gib,stream,1,1,0,0,0,4946.850927,0.603864,
opends,filesize8gib,async,1,1,0,0,0,4948.335099,0.604045,
opends,tiktokish,sync,1,1,0,0,0,4478.513647,598.157545,
opends,tiktokish,stream,1,1,0,0,0,4866.960647,649.867087,
opends,tiktokish,async,1,1,0,0,0,4897.030278,653.7861,
opends,lmcacheish,sync,1,1,0,0,0,4812.970971,343.687746,
opends,lmcacheish,stream,1,1,0,0,0,4987.630609,356.159954,
opends,lmcacheish,async,1,1,0,0,0,5042.803069,360.099745,
opends,filesize8gib,sync,1,2,0,200,0,7021.602664,0.857129,
opends,filesize8gib,stream,1,2,0,200,0,6777.434075,0.827323,
opends,filesize8gib,async,1,2,0,200,0,7034.56515,0.858712,
opends,tiktokish,sync,1,2,0,200,0,6212.642532,829.880351,
opends,tiktokish,stream,1,2,0,200,0,5890.261761,786.643852,
opends,tiktokish,async,1,2,0,200,0,5963.775817,796.405239,
opends,lmcacheish,sync,1,2,0,200,0,6389.387967,456.257551,
opends,lmcacheish,stream,1,2,0,200,0,6042.262401,431.469784,
opends,lmcacheish,async,1,2,0,200,0,6100.982796,435.662928,
opends,filesize8gib,sync,1,2,1,200,0,7025.361012,0.857588,
opends,filesize8gib,stream,1,2,1,200,0,7020.17719,0.856955,
opends,filesize8gib,async,1,2,1,200,0,7039.786766,0.859349,
opends,lmcacheish,sync,1,2,1,200,0,6368.053694,454.734099,
opends,lmcacheish,stream,1,2,1,200,0,6399.673484,456.992026,
opends,lmcacheish,async,1,2,1,200,0,6079.585435,434.134971,
opends,imagenetish,stream,1,2,0,200,0,890.480578,8299.856948,
opends,imagenetish,async,1,2,0,200,0,797.847237,7436.254026,
opends,filesize8gib,sync,1,4,0,200,0,6878.540249,0.839666,
opends,filesize8gib,stream,1,4,0,200,0,7075.180477,0.863669,
opends,filesize8gib,async,1,4,0,200,0,7081.823645,0.86448,
opends,tiktokish,sync,1,4,0,200,0,6209.780257,829.202212,
opends,tiktokish,stream,1,4,0,200,0,6041.79956,806.811209,
opends,tiktokish,async,1,4,0,200,0,6075.461923,811.30691,
opends,lmcacheish,sync,1,4,0,200,0,6384.471902,455.906501,
opends,lmcacheish,stream,1,4,0,200,0,5243.89975,374.459787,
opends,lmcacheish,async,1,4,0,200,0,5093.584058,363.725947,
opends,filesize8gib,sync,1,4,0,,1,6862.166288,0.837667,
opends,filesize8gib,stream,1,4,0,,1,7063.710882,0.862269,
opends,filesize8gib,async,1,4,0,,1,6797.776073,0.829807,
opends,tiktokish,sync,1,4,0,,1,6215.312047,829.990668,
opends,tiktokish,stream,1,4,0,,1,6004.728297,801.798605,
opends,tiktokish,async,1,4,0,,1,6081.920753,812.265234,
opends,lmcacheish,sync,1,4,0,,1,6370.031009,454.875297,
opends,lmcacheish,stream,1,4,0,,1,5270.785299,376.379648,
opends,lmcacheish,async,1,4,0,,1,5241.228198,374.269015,
opends,imagenetish,stream,1,4,0,200,0,1509.116182,14065.862275,
opends,imagenetish,async,1,4,0,200,0,1285.427268,11980.91846,
opends,filesize8gib,sync,1,4,0,0,0,7097.993452,0.866454,
opends,filesize8gib,stream,1,4,0,0,0,7050.760172,0.860688,
opends,filesize8gib,async,1,4,0,0,0,7072.715396,0.863369,
opends,tiktokish,sync,1,4,0,0,0,5539.621786,739.841526,
opends,tiktokish,stream,1,4,0,0,0,6011.381097,802.694991,
opends,tiktokish,async,1,4,0,0,0,6071.136062,810.778285,
opends,lmcacheish,sync,1,4,0,0,0,5993.423448,427.98226,
opends,lmcacheish,stream,1,4,0,0,0,5223.323816,372.990487,
opends,lmcacheish,async,1,4,0,0,0,5150.605158,367.797746,
opends,filesize8gib,sync,1,512,0,200,0,7053.952013,0.861078,
opends,filesize8gib,stream,1,512,0,200,0,6782.013769,0.827883,
opends,filesize8gib,async,1,512,0,200,0,7068.099919,0.862805,
opends,tiktokish,sync,1,512,0,200,0,6206.140478,828.723918,
opends,tiktokish,stream,1,512,0,200,0,4963.38466,662.872212,
opends,tiktokish,async,1,512,0,200,0,5035.613171,672.444163,
opends,lmcacheish,sync,1,512,0,200,0,6395.624427,456.702888,
opends,lmcacheish,stream,1,512,0,200,0,4887.365512,349.000159,
opends,lmcacheish,async,1,512,0,200,0,4892.611234,349.374749,
opends,imagenetish,sync,1,512,0,200,0,663.943394,6188.378963,
opends,imagenetish,stream,1,512,0,200,0,2772.965506,25845.191972,
opends,imagenetish,async,1,512,0,200,0,2626.22231,24477.68451,
opends,filesize8gib,sync,1,512,1,200,0,7060.671531,0.861898,
opends,filesize8gib,stream,1,512,1,200,0,7058.707341,0.861659,
opends,filesize8gib,async,1,512,1,200,0,7092.430014,0.865775,
opends,lmcacheish,sync,1,512,1,200,0,6380.11402,455.595311,
opends,lmcacheish,stream,1,512,1,200,0,6396.472854,456.763473,
opends,lmcacheish,async,1,512,1,200,0,4867.139266,347.55583,
opends,imagenetish,stream,1,8,0,200,0,2341.71953,21826.05359,
opends,imagenetish,async,1,8,0,200,0,1881.2449,17534.271776,
opends,filesize8gib,sync,2,1,0,200,0,5290.479899,0.645811,
opends,filesize8gib,stream,2,1,0,200,0,5247.131994,0.640519,
opends,filesize8gib,async,2,1,0,200,0,5255.401572,0.641529,
opends,tiktokish,sync,2,1,0,200,0,4664.639483,622.876513,
opends,tiktokish,stream,2,1,0,200,0,5640.650759,753.274851,
opends,tiktokish,async,2,1,0,200,0,5706.742013,762.018608,
opends,lmcacheish,sync,2,1,0,200,0,4901.160373,349.985232,
opends,lmcacheish,stream,2,1,0,200,0,5714.272531,408.048471,
opends,lmcacheish,async,2,1,0,200,0,5796.882195,413.947515,
opends,filesize8gib,sync,2,16,0,200,0,7058.242692,0.861602,
opends,filesize8gib,stream,2,16,0,200,0,7025.348727,0.857587,
opends,filesize8gib,async,2,16,0,200,0,7027.447808,0.857843,
opends,tiktokish,sync,2,16,0,200,0,5848.674437,781.131952,
opends,tiktokish,stream,2,16,0,200,0,4986.81007,665.912815,
opends,tiktokish,async,2,16,0,200,0,5006.884355,668.611808,
opends,lmcacheish,sync,2,16,0,200,0,6132.416206,437.907545,
opends,lmcacheish,stream,2,16,0,200,0,5060.867126,361.389675,
opends,lmcacheish,async,2,16,0,200,0,5520.016493,394.17691,
opends,imagenetish,stream,2,1,0,200,0,1104.83792,10297.5734,
opends,imagenetish,async,2,1,0,200,0,969.859028,9039.822756,
opends,filesize8gib,sync,2,1,0,0,0,5004.344036,0.610882,
opends,filesize8gib,stream,2,1,0,0,0,5273.470703,0.643734,
opends,filesize8gib,async,2,1,0,0,0,5287.146119,0.645404,
opends,tiktokish,sync,2,1,0,0,0,4644.96948,620.24018,
opends,tiktokish,stream,2,1,0,0,0,5630.291776,751.888907,
opends,tiktokish,async,2,1,0,0,0,5692.216402,760.196974,
opends,lmcacheish,sync,2,1,0,0,0,4907.031433,350.404476,
opends,lmcacheish,stream,2,1,0,0,0,5716.813385,408.22991,
opends,lmcacheish,async,2,1,0,0,0,5735.675409,409.576821,
opends,filesize8gib,sync,2,4,0,200,0,6770.256086,0.826447,
opends,filesize8gib,stream,2,4,0,200,0,7040.995152,0.859496,
opends,filesize8gib,async,2,4,0,200,0,7073.800907,0.863501,
opends,tiktokish,sync,2,4,0,200,0,5853.588419,781.579823,
opends,tiktokish,stream,2,4,0,200,0,5025.348995,671.062536,
opends,tiktokish,async,2,4,0,200,0,5046.643328,673.986473,
opends,lmcacheish,sync,2,4,0,200,0,6152.040618,439.308898,
opends,lmcacheish,stream,2,4,0,200,0,4870.282335,347.780273,
opends,lmcacheish,async,2,4,0,200,0,5003.756427,357.311477,
opends,filesize8gib,sync,2,512,0,200,0,6913.437421,0.843925,
opends,filesize8gib,stream,2,512,0,200,0,6920.634096,0.844804,
opends,filesize8gib,async,2,512,0,200,0,6973.200265,0.851221,
opends,tiktokish,sync,2,512,0,200,0,5869.52843,783.802968,
opends,tiktokish,stream,2,512,0,200,0,4994.37714,666.908364,
opends,tiktokish,async,2,512,0,200,0,5013.447588,669.538357,
opends,lmcacheish,sync,2,512,0,200,0,6149.763827,439.146315,
opends,lmcacheish,stream,2,512,0,200,0,4870.012107,347.760976,
opends,lmcacheish,async,2,512,0,200,0,4871.535625,347.869768,
opends,filesize8gib,sync,2,512,0,0,0,7048.657509,0.860432,
opends,filesize8gib,stream,2,512,0,0,0,6900.53263,0.84235,
opends,filesize8gib,async,2,512,0,0,0,7046.606657,0.860181,
opends,tiktokish,sync,2,512,0,0,0,5852.485647,781.566159,
opends,tiktokish,stream,2,512,0,0,0,5007.100025,668.721845,
opends,tiktokish,async,2,512,0,0,0,5116.344746,683.272919,
opends,lmcacheish,sync,2,512,0,0,0,6134.224746,438.03669,
opends,lmcacheish,stream,2,512,0,0,0,4866.43397,347.505466,
opends,lmcacheish,async,2,512,0,0,0,4913.877125,350.893318,
opends,filesize8gib,sync,2,8,0,200,0,6793.92888,0.829337,
opends,filesize8gib,stream,2,8,0,200,0,7036.194331,0.85891,
opends,filesize8gib,async,2,8,0,200,0,7081.538857,0.864446,
opends,tiktokish,sync,2,8,0,200,0,5869.030397,783.644488,
opends,tiktokish,stream,2,8,0,200,0,4956.59121,661.897198,
opends,tiktokish,async,2,8,0,200,0,5000.850028,667.728494,
opends,lmcacheish,sync,2,8,0,200,0,6150.843963,439.223446,
opends,lmcacheish,stream,2,8,0,200,0,5368.467922,383.355032,
opends,lmcacheish,async,2,8,0,200,0,5262.759586,375.806542,
opends,imagenetish,sync,2,8,0,200,0,582.525931,5429.597621,
opends,imagenetish,stream,2,8,0,200,0,2786.995633,25978.255387,
opends,imagenetish,async,2,8,0,200,0,2385.776607,22237.716507,
opends,filesize8gib,sync,2,8,1,200,0,7054.209682,0.86111,
opends,filesize8gib,stream,2,8,1,200,0,7077.005706,0.863892,
opends,filesize8gib,async,2,8,1,200,0,6822.537883,0.832829,
opends,lmcacheish,sync,2,8,1,200,0,6152.495676,439.341393,
opends,lmcacheish,stream,2,8,1,200,0,6400.684785,457.064241,
opends,lmcacheish,async,2,8,1,200,0,5337.413642,381.137487,
opends,filesize8gib,sync,2,8,0,,1,7066.132509,0.862565,
opends,filesize8gib,stream,2,8,0,,1,6897.676534,0.842002,
opends,filesize8gib,async,2,8,0,,1,7052.634019,0.860917,
opends,tiktokish,sync,2,8,0,,1,6230.9847,832.029921,
opends,tiktokish,stream,2,8,0,,1,4940.213187,659.700037,
opends,tiktokish,async,2,8,0,,1,4978.017212,664.813486,
opends,lmcacheish,sync,2,8,0,,1,6396.375044,456.756488,
opends,lmcacheish,stream,2,8,0,,1,5404.675265,385.940549,
opends,lmcacheish,async,2,8,0,,1,5439.993703,388.462591,
opends,filesize8gib,sync,2,8,0,0,0,7055.718721,0.861294,
opends,filesize8gib,stream,2,8,0,0,0,6879.285571,0.839757,
opends,filesize8gib,async,2,8,0,0,0,6945.067344,0.847787,
opends,tiktokish,sync,2,8,0,0,0,5878.83163,784.968285,
opends,tiktokish,stream,2,8,0,0,0,4930.548631,658.414351,
opends,tiktokish,async,2,8,0,0,0,5027.972201,671.473988,
opends,lmcacheish,sync,2,8,0,0,0,6141.259771,438.539052,
opends,lmcacheish,stream,2,8,0,0,0,5388.392511,384.777819,
opends,lmcacheish,async,2,8,0,0,0,5402.684024,385.798357,
opends,filesize8gib,sync,4,1,0,200,0,4960.213151,0.605495,
opends,filesize8gib,stream,4,1,0,200,0,5283.413568,0.644948,
opends,filesize8gib,async,4,1,0,200,0,5293.453475,0.646174,
opends,tiktokish,sync,4,1,0,200,0,4636.825595,619.236461,
opends,tiktokish,stream,4,1,0,200,0,5675.773735,757.925394,
opends,tiktokish,async,4,1,0,200,0,5757.020296,768.838361,
opends,lmcacheish,sync,4,1,0,200,0,4896.319938,349.639583,
opends,lmcacheish,stream,4,1,0,200,0,5468.733508,390.514861,
opends,lmcacheish,async,4,1,0,200,0,5503.567014,393.002275,
opends,imagenetish,stream,4,1,0,200,0,1725.880319,16085.94917,
opends,imagenetish,async,4,1,0,200,0,1418.42346,13221.35121,
opends,filesize8gib,sync,4,32,0,200,0,7048.414801,0.860402,
opends,filesize8gib,stream,4,32,0,200,0,7082.950781,0.864618,
opends,filesize8gib,async,4,32,0,200,0,6794.579221,0.829416,
opends,tiktokish,sync,4,32,0,200,0,5851.154317,781.395736,
opends,tiktokish,stream,4,32,0,200,0,4988.043495,666.237314,
opends,tiktokish,async,4,32,0,200,0,5019.731605,670.324452,
opends,lmcacheish,sync,4,32,0,200,0,6134.354375,438.045947,
opends,lmcacheish,stream,4,32,0,200,0,4847.930517,346.18416,
opends,lmcacheish,async,4,32,0,200,0,4889.379155,349.143951,
opends,filesize8gib,sync,4,32,1,200,0,6951.076648,0.84852,
opends,filesize8gib,stream,4,32,1,200,0,7057.350907,0.861493,
opends,filesize8gib,async,4,32,1,200,0,7051.906269,0.860828,
opends,lmcacheish,sync,4,32,1,200,0,6132.339657,437.902079,
opends,lmcacheish,stream,4,32,1,200,0,6394.746897,456.640225,
opends,lmcacheish,async,4,32,1,200,0,4942.470287,352.935117,
opends,filesize8gib,sync,4,8,0,200,0,7075.607335,0.863722,
opends,filesize8gib,stream,4,8,0,200,0,7033.529021,0.858585,
opends,filesize8gib,async,4,8,0,200,0,7028.632838,0.857987,
opends,tiktokish,sync,4,8,0,200,0,5821.203913,777.347643,
opends,tiktokish,stream,4,8,0,200,0,4963.617153,662.863894,
opends,tiktokish,async,4,8,0,200,0,5003.705514,668.110169,
opends,lmcacheish,sync,4,8,0,200,0,6121.025061,437.094119,
opends,lmcacheish,stream,4,8,0,200,0,4871.332135,347.855238,
opends,lmcacheish,async,4,8,0,200,0,5434.965288,388.103518,
opends,filesize8gib,sync,8,1,0,200,0,5278.66498,0.644368,
opends,filesize8gib,stream,8,1,0,200,0,5268.34034,0.643108,
opends,filesize8gib,async,8,1,0,200,0,5285.643372,0.64522,
opends,tiktokish,sync,8,1,0,200,0,4624.225295,617.508809,
opends,tiktokish,stream,8,1,0,200,0,5236.476458,699.464711,
opends,tiktokish,async,8,1,0,200,0,5279.763342,705.107395,
opends,lmcacheish,sync,8,1,0,200,0,4899.48672,349.865718,
opends,lmcacheish,stream,8,1,0,200,0,5029.611605,359.15776,
opends,lmcacheish,async,8,1,0,200,0,4997.462571,356.862041,
opends,imagenetish,stream,8,1,0,200,0,2452.050876,22854.572928,
opends,imagenetish,async,8,1,0,200,0,1978.372759,18439.842737,
opends,filesize8gib,sync,8,32,0,200,0,7038.998829,0.859253,
opends,filesize8gib,stream,8,32,0,200,0,7061.775811,0.862033,
opends,filesize8gib,async,8,32,0,200,0,7085.352098,0.864911,
